Id Linha Base,Timestamp,Horario,Fim de Semana,Sensor Comodo,Comodo,lig_desl_luz,lig_desl_aparelho,tempo_lig_luz,tempo_lig_aparelho,Id Atividade,Atividade
90,2019-05-27 12:57,12:57,False,17,Lavanderia,0,0,0.0,1.0,11,Lavar roupa
92,2019-05-27 13:03,13:03,False,18,Garagem,0,0,0.0,0,3,Entrada
92,2019-05-27 13:03,13:03,False,18,Garagem,0,0,0.0,0,4,Saida
92,2019-05-27 13:03,13:03,False,18,Garagem,0,0,0.0,0,16,Pres garagem
93,2019-05-27 13:06,13:06,False,16,Cozinha,1,0,0.9090909090909091,1.0,10,Cozinhar
93,2019-05-27 13:06,13:06,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
94,2019-05-27 13:09,13:09,False,15,Sala,0,0,0.0,0.0,6,Pres sala
95,2019-05-27 13:12,13:12,False,18,Garagem,0,0,0.0,0,3,Entrada
95,2019-05-27 13:12,13:12,False,18,Garagem,0,0,0.0,0,4,Saida
95,2019-05-27 13:12,13:12,False,18,Garagem,0,0,0.0,0,16,Pres garagem
98,2019-05-27 13:22,13:22,False,18,Garagem,0,0,0.0,0,3,Entrada
98,2019-05-27 13:22,13:22,False,18,Garagem,0,0,0.0,0,4,Saida
98,2019-05-27 13:22,13:22,False,16,Cozinha,1,0,0.8333333333333334,1.0,10,Cozinhar
98,2019-05-27 13:22,13:22,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
98,2019-05-27 13:22,13:22,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
98,2019-05-27 13:22,13:22,False,18,Garagem,0,0,0.0,0,16,Pres garagem
100,2019-05-27 13:28,13:28,False,18,Garagem,0,0,0.0,0,3,Entrada
100,2019-05-27 13:28,13:28,False,18,Garagem,0,0,0.0,0,4,Saida
100,2019-05-27 13:28,13:28,False,18,Garagem,0,0,0.0,0,16,Pres garagem
102,2019-05-27 13:37,13:37,False,18,Garagem,0,0,0.0,0,3,Entrada
102,2019-05-27 13:37,13:37,False,18,Garagem,0,0,0.0,0,4,Saida
102,2019-05-27 13:37,13:37,False,16,Cozinha,1,0,0.5,1.0,10,Cozinhar
102,2019-05-27 13:37,13:37,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
102,2019-05-27 13:37,13:37,False,18,Garagem,0,0,0.0,0,16,Pres garagem
103,2019-05-27 13:41,13:41,False,15,Sala,0,0,0.0,0.0,6,Pres sala
105,2019-05-27 13:47,13:47,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
106,2019-05-27 13:50,13:50,False,15,Sala,0,0,0.0,0.0,6,Pres sala
106,2019-05-27 13:50,13:50,False,16,Cozinha,0,1,0.0,0.2222222222222222,10,Cozinhar
109,2019-05-27 14:03,14:03,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
109,2019-05-27 14:03,14:03,False,15,Sala,0,0,0.0,0.0,6,Pres sala
109,2019-05-27 14:03,14:03,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
110,2019-05-27 14:09,14:09,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
110,2019-05-27 14:09,14:09,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
110,2019-05-27 14:09,14:09,False,22,Corredor,0,0,0.0,0,15,Pres corredor
111,2019-05-27 14:12,14:12,False,15,Sala,0,0,0.0,0.0,6,Pres sala
111,2019-05-27 14:12,14:12,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
112,2019-05-27 14:15,14:15,False,18,Garagem,0,0,0.0,0,3,Entrada
112,2019-05-27 14:15,14:15,False,18,Garagem,0,0,0.0,0,4,Saida
112,2019-05-27 14:15,14:15,False,18,Garagem,0,0,0.0,0,16,Pres garagem
114,2019-05-27 14:21,14:21,False,15,Sala,1,0,0.6666666666666666,0.0,6,Pres sala
115,2019-05-27 14:24,14:24,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
116,2019-05-27 14:28,14:28,False,18,Garagem,0,0,0.0,0,3,Entrada
116,2019-05-27 14:28,14:28,False,18,Garagem,0,0,0.0,0,4,Saida
116,2019-05-27 14:28,14:28,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
116,2019-05-27 14:28,14:28,False,22,Corredor,0,0,0.0,0,15,Pres corredor
116,2019-05-27 14:28,14:28,False,18,Garagem,0,0,0.0,0,16,Pres garagem
119,2019-05-27 14:40,14:40,False,18,Garagem,0,0,0.0,0,3,Entrada
119,2019-05-27 14:40,14:40,False,18,Garagem,0,0,0.0,0,4,Saida
119,2019-05-27 14:40,14:40,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
119,2019-05-27 14:40,14:40,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
119,2019-05-27 14:40,14:40,False,18,Garagem,0,0,0.0,0,16,Pres garagem
120,2019-05-27 14:43,14:43,False,15,Sala,0,0,0.0,0.0,6,Pres sala
120,2019-05-27 14:43,14:43,False,22,Corredor,0,0,0.0,0,15,Pres corredor
121,2019-05-27 14:46,14:46,False,18,Garagem,0,0,0.0,0,3,Entrada
121,2019-05-27 14:46,14:46,False,18,Garagem,0,0,0.0,0,4,Saida
121,2019-05-27 14:46,14:46,False,18,Garagem,0,0,0.0,0,16,Pres garagem
122,2019-05-27 14:49,14:49,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
122,2019-05-27 14:49,14:49,False,15,Sala,0,0,0.0,0.0,6,Pres sala
123,2019-05-27 14:53,14:53,False,18,Garagem,0,0,0.0,0,3,Entrada
123,2019-05-27 14:53,14:53,False,18,Garagem,0,0,0.0,0,4,Saida
123,2019-05-27 14:53,14:53,False,22,Corredor,0,0,0.0,0,15,Pres corredor
123,2019-05-27 14:53,14:53,False,18,Garagem,0,0,0.0,0,16,Pres garagem
124,2019-05-27 14:56,14:56,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
126,2019-05-27 15:05,15:05,False,18,Garagem,0,0,0.0,0,3,Entrada
126,2019-05-27 15:05,15:05,False,18,Garagem,0,0,0.0,0,4,Saida
126,2019-05-27 15:05,15:05,False,18,Garagem,0,0,0.0,0,16,Pres garagem
128,2019-05-27 15:12,15:12,False,15,Sala,0,0,0.0,0.0,6,Pres sala
128,2019-05-27 15:12,15:12,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
129,2019-05-27 15:15,15:15,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
130,2019-05-27 15:24,15:24,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
130,2019-05-27 15:24,15:24,False,20,Quarto 2,0,0,0.0,0.0,13,Pres quarto 2
