Sensor,Timestamp
pres_corredor,"""2019-04-14 19:07"""
pres_quarto3,"""2019-04-14 19:07"""
luz_lavanderia OFF,"""2019-04-14 19:09"""
pres_sala,"""2019-04-14 19:09"""
pres_quarto2,"""2019-04-14 19:09"""
pres_quarto3,"""2019-04-14 19:09"""
pres_sala,"""2019-04-14 19:11"""
pres_quarto2,"""2019-04-14 19:11"""
pres_corredor,"""2019-04-14 19:11"""
pres_quarto3,"""2019-04-14 19:11"""
pres_sala,"""2019-04-14 19:13"""
pres_cozinha,"""2019-04-14 19:13"""
pres_quarto2,"""2019-04-14 19:13"""
pres_quarto3,"""2019-04-14 19:13"""
pres_sala,"""2019-04-14 19:16"""
pres_cozinha,"""2019-04-14 19:16"""
pres_quarto2,"""2019-04-14 19:16"""
pres_sala,"""2019-04-14 19:18"""
pres_cozinha,"""2019-04-14 19:18"""
pres_quarto2,"""2019-04-14 19:18"""
pres_corredor,"""2019-04-14 19:18"""
pres_quarto3,"""2019-04-14 19:18"""
pres_sala,"""2019-04-14 19:20"""
pres_cozinha,"""2019-04-14 19:20"""
pres_garagem,"""2019-04-14 19:20"""
pres_quarto2,"""2019-04-14 19:20"""
pres_quarto3,"""2019-04-14 19:20"""
pres_sala,"""2019-04-14 19:22"""
pres_cozinha,"""2019-04-14 19:22"""
pres_garagem,"""2019-04-14 19:22"""
pres_quarto2,"""2019-04-14 19:22"""
pres_quarto3,"""2019-04-14 19:22"""
pres_sala,"""2019-04-14 19:24"""
pres_cozinha,"""2019-04-14 19:24"""
pres_lavanderia,"""2019-04-14 19:24"""
pres_garagem,"""2019-04-14 19:24"""
pres_quarto2,"""2019-04-14 19:24"""
pres_cobertura,"""2019-04-14 19:24"""
pres_corredor,"""2019-04-14 19:24"""
pres_quarto3,"""2019-04-14 19:24"""
luz_lavanderia ON,"""2019-04-14 19:26"""
luz_banho ON,"""2019-04-14 19:26"""
pres_cozinha,"""2019-04-14 19:26"""
pres_lavanderia,"""2019-04-14 19:26"""
pres_corredor,"""2019-04-14 19:26"""
pres_quarto3,"""2019-04-14 19:26"""
luz_quarto2 OFF,"""2019-04-14 19:35"""
luz_banho OFF,"""2019-04-14 19:35"""
pres_cozinha,"""2019-04-14 19:35"""
pres_quarto3,"""2019-04-14 19:35"""
pres_sala,"""2019-04-14 19:37"""
pres_cozinha,"""2019-04-14 19:37"""
pres_lavanderia,"""2019-04-14 19:37"""
pres_garagem,"""2019-04-14 19:37"""
pres_quarto2,"""2019-04-14 19:37"""
pres_quarto3,"""2019-04-14 19:37"""
luz_lavanderia OFF,"""2019-04-14 19:39"""
pres_cozinha,"""2019-04-14 19:39"""
pres_garagem,"""2019-04-14 19:39"""
luz_corredor OFF,"""2019-04-14 19:45"""
pres_cozinha,"""2019-04-14 19:45"""
pres_garagem,"""2019-04-14 19:45"""
tv_cozinha ON,"""2019-04-14 19:45"""
pres_cozinha,"""2019-04-14 19:47"""
pres_sala,"""2019-04-14 19:49"""
pres_cozinha,"""2019-04-14 19:49"""
pres_corredor,"""2019-04-14 19:49"""
pres_cozinha,"""2019-04-14 19:51"""
pres_corredor,"""2019-04-14 19:51"""
pres_cozinha,"""2019-04-14 19:53"""
pres_corredor,"""2019-04-14 19:53"""
pres_cozinha,"""2019-04-14 19:55"""
pres_corredor,"""2019-04-14 19:55"""
pres_cozinha,"""2019-04-14 19:57"""
pres_garagem,"""2019-04-14 19:57"""
pres_cozinha,"""2019-04-14 20:00"""
pres_cozinha,"""2019-04-14 20:02"""
